1,Faesida,Faesida@mail.ru,1999.6.26.,male
2,Dougar,Dougar@mail.ru,1991.9.26.,male
3,Mnelas,Mnelas@mail.ru,1982.10.26.,male
4,Colace,Colace@mail.ru,1988.7.20.,male
5,Sharpredeemer,Sharpredeemer@mail.ru,1993.5.1.,male
6,Thunderforge,Thunderforge@mail.ru,1970.1.19.,male
7,Bluefont,Bluefont@mail.ru,1971.3.26.,male
8,Kazrajin,Kazrajin@mail.ru,1982.12.25.,female
9,Saberdefender,Saberdef@mail.ruer@mail.ru,2003.3.8.,male
10,Botus,Botus@mail.ru,1981.7.24.,female
11,Kazijar,Kazijar@mail.ru,1985.12.24.,male
12,Perikelv,Perikelv@mail.ru,1997.11.23.,male
13,Nagrinn,Nagrinn@mail.ru,2000.3.9.,female
14,Hugimand,Hugimand@mail.ru,1977.6.5.,male
15,Kathrilar,Kathrilar@mail.ru,2006.2.26.,female
16,Laihuginn,Laihuginn@mail.ru,2008.2.14.,female
17,Chillworm,Chillworm@mail.ru,1980.9.23.,male
18,Anaron,Anaron@mail.ru,1995.9.24.,male
19,Nele,Nele@mail.ru,2010.4.19.,female
20,Aurinis,Aurinis@mail.ru,1993.1.21.,female
21,Moonmane,Moonmane@mail.ru,1970.11.18.,female
22,Keledora,Keledora@mail.ru,1986.4.1.,female
23,Akilar,Akilar@mail.ru,1972.12.27.,female
24,Burithis,Burithis@mail.ru,2004.11.2.,male
25,Balladordred,Balladordred@mail.ru,2005.9.26.,male
26,Kirirad,Kirirad@mail.ru,1991.2.15.,male
27,Centrirgas,Centrirgas@mail.ru,2003.2.4.,male
28,Gakus,Gakus@mail.ru,1998.9.16.,female
29,Ishnhelm,Ishnhelm@mail.ru,2006.5.2.,male
30,Saithirius,Saithirius@mail.ru,1986.12.26.,male
31,Zulura,Zulura@mail.ru,1990.10.9.,male
32,Faujind,Faujind@mail.ru,1983.4.11.,female
33,Moogushakar,Moogushakar@mail.ru,1998.11.4.,male
34,Fearlessfont,Fearlessfont@mail.ru,1996.11.9.,female
35,Shagra,Shagra@mail.ru,2001.1.22.,male
36,Andromadora,Andromadora@mail.ru,1978.2.26.,female
37,Aurus,Aurus@mail.ru,1989.7.9.,male
38,Spellfist,Spellfist@mail.ru,2004.3.1.,female
39,Cemeena,Cemeena@mail.ru,1998.4.15.,female
40,Gataur,Gataur@mail.ru,1984.7.18.,female
